iter	Passed	Remaining
510	612	586
511	613	584
512	614	583
513	615	581
514	616	580
515	617	579
516	618	577
517	620	577
518	621	576
519	622	575
520	623	573
521	624	572
522	625	570
523	626	569
524	627	568
525	629	567
526	630	565
527	632	565
528	635	565
529	636	564
530	637	562
531	638	561
532	639	560
533	640	558
534	641	557
535	642	555
536	643	554
537	644	553
538	645	552
539	646	550
540	649	550
541	650	549
542	651	548
543	652	546
544	653	545
545	654	544
546	655	542
547	656	541
548	656	539
549	657	538
550	658	536
551	659	535
552	660	534
553	662	533
554	663	532
555	664	530
556	665	529
557	666	527
558	667	526
559	668	525
560	669	523
561	670	522
562	670	520
563	671	519
564	672	517
565	673	516
566	674	515
567	675	513
568	677	513
569	678	512
570	679	510
571	680	509
572	681	508
573	682	506
574	683	505
575	684	503
576	686	503
577	687	501
578	688	500
579	689	498
580	689	497
581	692	497
582	693	495
583	694	494
584	695	493
585	695	491
586	696	490
587	697	488
588	698	487
589	699	485
590	700	484
591	702	483
592	703	482
593	705	482
594	707	481
595	708	480
596	709	478
597	709	477
598	710	475
599	711	474
600	712	472
601	713	471
602	713	469
603	714	468
604	715	467
605	716	465
606	716	464
607	717	462
608	718	461
609	719	460
610	720	458
611	721	457
612	722	456
613	723	454
614	724	453
615	724	451
616	725	450
617	726	448
618	727	447
619	727	446
620	728	444
621	729	443
622	730	441
623	731	440
624	733	439
625	734	438
626	735	437
627	736	436
628	737	434
629	738	433
630	739	432
631	739	430
632	741	429
633	741	428
634	742	426
635	743	425
636	744	424
637	744	422
638	747	422
639	748	421
640	749	419
641	750	418
642	751	417
643	752	415
644	752	414
645	753	412
646	754	411
647	755	410
648	756	409
649	757	407
650	759	406
651	761	406
652	762	405
653	763	403
654	764	402
655	764	401
656	765	399
657	766	398
658	767	396
659	767	395
660	768	394
661	769	392
662	770	391
663	771	390
664	771	388
665	772	387
666	773	386
667	774	385
668	776	383
669	776	382
670	777	381
671	778	379
672	779	378
673	780	377
674	780	375
675	781	374
676	782	373
677	783	371
678	783	370
679	784	369
680	785	367
681	786	366
682	787	365
683	787	363
684	790	363
685	791	362
686	791	360
687	792	359
688	793	358
689	794	356
690	794	355
691	795	354
692	796	352
693	797	351
694	798	350
695	799	349
696	800	348
697	801	346
698	802	345
699	804	344
700	805	343
701	806	342
702	807	341
703	808	339
704	808	338
705	809	337
706	810	335
707	811	334
708	812	333
709	812	332
710	813	330
711	814	329
712	815	328
713	816	326
714	816	325
715	818	324
716	819	323
717	819	321
718	820	320
719	821	319
720	822	318
721	822	316
722	823	315
723	824	314
724	825	313
725	826	311
726	826	310
727	827	309
728	828	307
729	829	306
730	830	305
731	832	304
732	833	303
733	834	302
734	835	301
735	836	300
736	837	298
737	838	297
738	838	296
739	839	295
740	840	293
741	841	292
742	841	291
743	842	289
744	843	288
745	844	287
746	845	286
747	847	285
748	847	284
749	848	282
750	849	281
751	850	280
752	850	279
753	851	277
754	852	276
755	853	275
756	854	274
757	854	272
758	856	271
759	856	270
760	857	269
761	859	268
762	860	267
763	861	266
764	862	264
765	862	263
766	863	262
767	864	261
768	865	259
769	866	258
770	866	257
771	867	256
772	868	254
773	868	253
774	869	252
775	870	251
776	871	250
777	874	249
778	876	248
779	877	247
780	886	248
781	890	248
782	891	247
783	893	246
784	898	246
785	899	244
786	900	243
787	901	242
788	901	241
789	904	240
790	905	239
791	906	238
792	907	236
793	907	235
794	908	234
795	909	233
796	910	231
797	910	230
798	911	229
799	912	228
800	913	226
801	913	225
802	914	224
803	915	223
804	916	221
805	918	221
806	919	219
807	920	218
808	922	217
809	924	216
810	925	215
811	926	214
812	927	213
813	928	212
814	929	210
815	930	209
816	930	208
817	932	207
818	933	206
819	934	205
820	935	203
821	936	202
822	937	201
823	937	200
824	938	199
825	939	197
826	940	196
827	940	195
828	941	194
829	942	193
830	943	191
831	943	190
832	944	189
833	947	188
834	948	187
835	949	186
836	950	185
837	950	183
838	951	182
839	952	181
840	953	180
841	954	179
842	955	177
843	956	176
844	957	175
845	957	174
846	958	173
847	960	172
848	961	171
849	963	169
850	964	168
851	965	167
852	966	166
853	967	165
854	967	164
855	969	163
856	970	161
857	970	160
858	971	159
859	972	158
860	973	157
861	975	156
862	976	155
863	978	153
864	978	152
865	979	151
866	981	150
867	981	149
868	982	148
869	983	146
870	984	145
871	985	144
872	986	143
873	987	142
874	989	141
875	990	140
876	991	139
877	992	137
878	993	136
879	994	135
880	995	134
881	995	133
882	996	132
883	998	130
884	999	129
885	1000	128
886	1003	127
887	1004	126
888	1005	125
889	1007	124
890	1008	123
891	1010	122
892	1010	121
893	1011	119
894	1012	118
895	1013	117
896	1014	116
897	1015	115
898	1018	114
899	1019	113
900	1020	112
901	1021	110
902	1022	109
903	1022	108
904	1023	107
905	1024	106
906	1025	105
907	1026	104
908	1027	102
909	1028	101
910	1028	100
911	1031	99
912	1033	98
913	1034	97
914	1035	96
915	1036	95
916	1037	93
917	1038	92
918	1039	91
919	1039	90
920	1040	89
921	1041	88
922	1041	86
923	1042	85
924	1045	84
925	1046	83
926	1048	82
927	1050	81
928	1051	80
929	1052	79
930	1052	78
931	1053	76
932	1054	75
933	1055	74
934	1056	73
935	1056	72
936	1057	71
